LEI,Legal Name_x,Country_x,Status_x,Legal Name_y,Country_y,City,Status_y,Last Update,Next Renewal
4469000001BC12B26Q16,SARE HOLDING S A B DE C V,MX,ACTIVE,,,,,,
5493000K5Z7M6N9Y3C42,INTERCAM GRUPO FINANCIERO S A DE C V,MX,ACTIVE,,,,,,
4469000001BCNG57T785,BANCO INVEX SA INSTITUCION DE BANCA MULTIPLE,MX,ACTIVE,,,,,,
4469000001BCXKWYAC48,DESARROLLOS EOLICOS MEXICANOS DE OAXACA 1 S A P I DE CV,MX,ACTIVE,,,,,,
4469000001BCXPDCGY70,GRUPO ELEKTRA S A B DE C V,MX,ACTIVE,,,,,,
4469000001BD0G1BA975,DESARROLLOS EOLICOS MEXICANOS DE OAXACA 2 S A P I DE CV,MX,ACTIVE,,,,,,
4469000001BD95FFLY16,BANCO DEL BAJIO SA,MX,ACTIVE,,,,,,
4469000001BDJ0T11Q91,RVA LIMITED S A P I DE CV,MX,ACTIVE,,,,,,
4469000001BDTA64E852,FONDO SAM DEUDA CORTO PLAZO 17 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,MX,ACTIVE,,,,,,
4469000001BDTEAW8I23,FONDO SAM DEUDA CORTO PLAZO 2 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,MX,ACTIVE,,,,,,
4469000001BDTEHA6Q10,FONDO SAM RENTA VARIABLE 17 SA DE CV FONDO DE INVERSION DE RENTA VARIABLE,MX,ACTIVE,,,,,,
4469000001BDTEHO1024,FONDO SAM DEUDA 8 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,MX,ACTIVE,,,,,,
4469000001BDTEHZ2574,"FONDO SAM DEUDA CORTO PLAZO 16, S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA",MX,ACTIVE,,,,,,
4469000001BDTEI8DN79,FONDO SAM DEUDA 4 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,MX,ACTIVE,,,,,,
4469000001BDTEIH5619,FONDO SAM DEUDA CORTO PLAZO 11 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,MX,ACTIVE,,,,,,
4469000001BDTEIR9C68,FONDO SAM RENTA VARIABLE 15 SA DE CV FONDO DE INVERSION DE RENTA VARIABLE,MX,ACTIVE,,,,,,
4469000001BDTEJ1T420,FONDO SAM BALANCEADO 4 S.A DE C.V. FONDO DE INVERSION DE RENTA VARIABLE,MX,ACTIVE,,,,,,
4469000001BDTEJAQA15,FONDO SAM BALANCEADO 6 SA DE CV FONDO DE INVERSION DE RENTA VARIABLE,MX,ACTIVE,,,,,,
4469000001BDTEJMBU57,"FONDO SAM BALANCEADO 15, S.A DE C.V, FONDO DE INVERSION DE RENTA VARIABLE",MX,ACTIVE,,,,,,
4469000001BDTEJUNQ36,FONDO SAM BALANCEADO 16 S.A DE C.V. FONDO DE INVERSION DE RENTA VARIABLE,MX,ACTIVE,,,,,,
4469000001BDTEK33446,FONDO SAM DEUDA 6 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,MX,ACTIVE,,,,,,
4469000001BDTEKDZ243,FONDO SANTANDER S6 SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,MX,INACTIVE,,,,,,
4469000001BDTEKMAJ18,FONDO SAM BALANCEADO 5 S.A DE C.V. FONDO DE INVERSION DE RENTA VARIABLE,MX,ACTIVE,,,,,,
4469000001BDTEKWKC67,FONDO SAM DEUDA 3 S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,MX,ACTIVE,,,,,,
4469000001BE4OEKAI37,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE",MX,ACTIVE,,,,,,
4469000001BEEH6VAX04,CONSTRUCTORA E INMOBILIARIA LOS ARCOS MILENIO SA DE CV,MX,ACTIVE,,,,,,
959800D9E3DRH4ZW5C15,ALSTERAN SA DE CV,MX,ACTIVE,,,,,,
4469000001BESPA0TG08,TECHNOBIO SA DE CV,MX,ACTIVE,,,,,,
4469000001BEYLRCVJ50,INNOVATEUR SAPI DE CV SOFOM ENR,MX,ACTIVE,,,,,,
4469000001BF2NMOYT39,INVERSORA DE METALES SA DE CV,MX,ACTIVE,,,,,,
4469000001BF5IIV4X97,GRUPO UNIDADES DE COMPUTO SA DE CV,MX,ACTIVE,,,,,,
4469000001BF5ZCBUO28,OBRA DE CLERIGOS EN AYUDA SOLIDARIA AR,MX,ACTIVE,,,,,,
4469000001BFFJTJOW39,SMP AUTOMOTIVE SYSTEMS MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300HUQGP330HMFS40,CASA DE BOLSA BBVA MEXICO SA DE CV GRUPO FINANCIERO BBVA MEXICO,MX,ACTIVE,,,,,,
4469000001BFPONMPF32,COMISION FEDERAL DE ELECTRICIDAD EPE,MX,ACTIVE,,,,,,
4469000001BFPX9AA506,PROVETREN SA DE CV,MX,ACTIVE,,,,,,
4469000001BFPX9NHU85,"CONSTRUCCION, MANTENIMIENTO, FERROVIAS Y SUBSISTEMAS SA DE CV",MX,ACTIVE,,,,,,
4469000001BFPX9ZDD42,CAF MEXICO SA DE CV,MX,ACTIVE,,,,,,
4469000001BFQXRO4694,INTERFLUJO SA DE CV,MX,ACTIVE,,,,,,
549300GHBA3BDTNBB539,BANCO CREDIT SUISSE MEXICO SA,MX,ACTIVE,,,,,,
549300M37OE3P56BH278,GRANJAS CARROLL DE MEXICO S DE RL DE CV,MX,ACTIVE,,,,,,
549300DX8RO18173IV05,MERCADOLIBRE S DE RL DE CV,MX,ACTIVE,,,,,,
4469000001BFY38CWR75,COPRECI DE MEXICO SA DE CV,MX,ACTIVE,,,,,,
4469000001BFY6YF6C06,"FONDO BBVA MEXICO ESTRATEGIA SELECTA 3, S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA",MX,ACTIVE,,,,,,
4469000001BFY8U5GE03,AFORE INVERCAP SA DE CV,MX,ACTIVE,,,,,,
4469000001BFYI9RIL72,INVERCAP SERVICE MANAGEMENT SA DE CV,MX,ACTIVE,,,,,,
4469000001BFZMT1I020,SIEFORE INVERCAP BASICA 95-99 SA DE CV,MX,ACTIVE,,,,,,
4469000001BFZRIGSI13,SIEFORE INVERCAP BASICA 60-64 SA DE CV,MX,ACTIVE,,,,,,
4469000001BFZRSAYZ36,SIEFORE INVERCAP BASICA 75-79 SA DE CV,MX,ACTIVE,,,,,,
4469000001BFZS3SZ738,SIEFORE INVERCAP BASICA 85-89 SA DE CV,MX,ACTIVE,,,,,,
4469000001BFZSCRKY80,SIEFORE INVERCAP BASICA DE PENSIONES SA DE CV,MX,ACTIVE,,,,,,
4469000001BG1DEZBM76,KRATEL SA DE CV,MX,ACTIVE,,,,,,
4469000001BG2IH5W294,"FONDO BBVA MEXICO DEUDA 11, S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA",MX,ACTIVE,,,,,,
4469000001BG2ISXDR26,"FONDO BBVA MEXICO RV7, S.A. DE C.V. FONDO DE INVERSION DE RENTA VARIABLE",MX,ACTIVE,,,,,,
4469000001BG2KGEC287,"FONDO BBVA MEXICO RV8, S.A. DE C.V. FONDO DE INVERSION DE RENTA VARIABLE",MX,ACTIVE,,,,,,
4469000001BG2KGVGE93,"FONDO BBVA MEXICO DEUDA 9, SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA",MX,ACTIVE,,,,,,
4469000001BG2KH6YG54,"FONDO BBVA BANCOMER DEUDA, SOCIEDAD ANONIMA DE CAPITAL VARIABLE, FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA",MX,INACTIVE,,,,,,
4469000001BG2KHJMM64,"FONDO BBVA MEXICO DEUDA 8, S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA",MX,ACTIVE,,,,,,
4469000001BG2KHZ2682,"FONDO BBVA MEXICO DEUDA 7, S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA",MX,ACTIVE,,,,,,
4469000001BG2KINU434,FONDO BBVA BANCOMER PREVISION ESTRATEGICA SA DE CV FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA,MX,INACTIVE,,,,,,
4469000001BG2KIZS869,"FONDO BBVA MEXICO DEUDA 14, S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA",MX,ACTIVE,,,,,,
4469000001BG2KJCMH09,"FONDO BBVA MEXICO DEUDA 15, S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA",MX,ACTIVE,,,,,,
4469000001BG2KJOGO09,"FONDO BBVA MEXICO RV12, S.A. DE C.V. FONDO DE INVERSION DE RENTA VARIABLE",MX,ACTIVE,,,,,,
4469000001BG2KJYZ673,"FONDO BBVA MEXICO RV11, S.A. DE C.V. FONDO DE INVERSION DE RENTA VARIABLE",MX,ACTIVE,,,,,,
4469000001BG6LDH2P70,TERMINAL DE LNG DE ALTAMIRA S DE RL DE CV,MX,ACTIVE,,,,,,
4469000001BG6M645178,"FONDO BBVA MEXICO DEUDA PLAZO, S.A. DE C.V. FONDO DE INVERSION EN INSTRUMENTOS DE DEUDA",MX,ACTIVE,,,,,,
4469000001BG81037B21,QUIMIALMEL MEXICO SA DE CV,MX,ACTIVE,,,,,,
4469000001BG83YTUO38,SMR AUTOMOTIVE VISION SYSTEMS MEXICO SA DE CV,MX,ACTIVE,,,,,,
4469000001BGCAL5BC62,BANCA MIFEL SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL,MX,ACTIVE,,,,,,
4469000001BGGOY5BI15,GRUPO PROMOLUX SA DE CV,MX,ACTIVE,,,,,,
959800M1H5YG8KUFPT85,CONTROL EMPRESARIAL DE CAPITALES SA DE CV,MX,ACTIVE,,,,,,
9598008W83848WUWGF65,INVERSORA CARSO S A DE C V,MX,INACTIVE,,,,,,
4469000001BGKZI1BG78,INFINITY TOWER SA DE CV,MX,ACTIVE,,,,,,
4469000001BGSACW4705,CABLE PROVEEDORA SA,MX,ACTIVE,,,,,,
4469000001BGTNA1BW31,GFM INGENIEROS CONSTRUCTORES SA DE CV,MX,ACTIVE,,,,,,
4469000001BGTPCDYL86,ALTAN REDES S A P I DE CV,MX,ACTIVE,,,,,,
959800SQGWJVLFDG1658,PEAL MEXICO SA DE CV,MX,ACTIVE,,,,,,
4469000001BH1YXNWN50,PEPE JEANS MEXICO S DE RL DE CV,MX,ACTIVE,,,,,,
4469000001BH3KW5BI57,ZRZ INVESTMENT SA DE CV,MX,ACTIVE,,,,,,
4469000001BH3M53X608,AGM ENTERPRISES SA DE CV,MX,ACTIVE,,,,,,
4469000001BH3PX7ZV84,HACKETT LIM MEXICO S DE RL DE CV,MX,ACTIVE,,,,,,
4469000001BH3Q5KLH30,AE FOREX TRADING AND RISK MANAGEMENT SA DE CV,MX,ACTIVE,,,,,,
4469000001BH3SJAR903,AE CAPITAL SAPI DE CV,MX,ACTIVE,,,,,,
549300ECBH1N1AE94S29,PROTEINAS Y OLEICOS SA DE CV,MX,ACTIVE,,,,,,
4469000001BH4XU06U85,LORPEN MEXICO S DE RL DE CV,MX,ACTIVE,,,,,,
4469000001BH5CHQ6V36,FUNDACION DERECHOS DE LA INFANCIA AC,MX,ACTIVE,,,,,,
4469000001BHC845VT10,BEWAVE CAPITAL S A P I DE CV,MX,ACTIVE,,,,,,
4469000001BHDKZTZU08,FERRAGAMO MEXICO S DE RL DE CV,MX,ACTIVE,,,,,,
4469000001BHDYQRQL19,GRUPO QUIPER SA DE CV,MX,ACTIVE,,,,,,
4469000001BHKPYXWM19,PEDRO DOMECQ SA DE CV,MX,ACTIVE,,,,,,
4469000001BHLWLVU684,REINER NAFTA SA DE CV,MX,ACTIVE,,,,,,
4469000001BHP2RWCQ17,AUTOMATIZACION Y CONSTRUCCION INDUSTRIAL DEL SURESTE SA DE CV,MX,ACTIVE,,,,,,
4469000001BHP2UADJ89,GRUPO AUTOMOTRIZ AVANZATECH SA DE CV,MX,ACTIVE,,,,,,
4469000001BHP35BIV24,INDUSTRIAS BARTHENEUF SA DE CV,MX,ACTIVE,,,,,,
4469000001BHP371V897,BLUE SIDE SA DE CV,MX,ACTIVE,,,,,,
4469000001BHP3J9GC84,CONVEYORS AND AUTOMATION SYSTEMS SA DE CV,MX,ACTIVE,,,,,,
4469000001BHP4EKRC39,JAMAICA MANTENIMIENTO E INSTALACIONES SA DE CV,MX,ACTIVE,,,,,,
4469000001BHP5Q8BF32,INTERNATIONAL METALS DE MEXICO SA DE CV,MX,ACTIVE,,,,,,
4469000001BHP7MRGV67,CENTRO DE EMISION Y PROCESAMIENTO DIGITAL SA DE CV,MX,ACTIVE,,,,,,
4469000001BHP8AJ4C15,CM TECNOLOGIA EN SOLUCIONES ELECTRICAS SA DE CV,MX,ACTIVE,,,,,,
4469000001BHP8ETU893,I N V E N T SA DE CV,MX,ACTIVE,,,,,,
4469000001BHPC51W476,MAQUILAS Y LOGISTICA INTEGRAL SA DE CV,MX,ACTIVE,,,,,,
4469000001BHPNA80X71,ELASTOMEROS DE QUERETARO SA DE CV,MX,ACTIVE,,,,,,
4469000001BHQASZDI02,FERRETERIA RODRIGUEZ DE REYNOSA SA DE CV,MX,ACTIVE,,,,,,
4469000001BHQDGAV635,ACEITES INDUSTRIALES COYOACAN SA DE CV,MX,ACTIVE,,,,,,
4469000001BHQF5LZI41,KUMERC SA DE CV,MX,ACTIVE,,,,,,
4469000001BHQFI16H11,DISE&O Y EQUIPOS ELECTRICOS DE MEXICO SA DE CV,MX,ACTIVE,,,,,,
4469000001BHQHIB2758,EVERTIS DE MEXICO SA DE CV,MX,ACTIVE,,,,,,
4469000001BHQK7BP828,ELECTRONICA SETA SA DE CV,MX,ACTIVE,,,,,,
